Ion	Charge	Crystal Radius	Ionic Radius
Ac	3	1.26	1.12
Ag	1	0.81	0.67
Ag	1	1.14	1
Ag	1	1.16	1.02
Ag	1	1.23	1.09
Ag	1	1.29	1.15
Ag	1	1.36	1.22
Ag	1	1.42	1.28
Ag	2	0.93	0.79
Ag	2	1.08	0.94
Ag	3	0.81	0.67
Ag	3	0.89	0.75
Al	3	0.53	0.39
Al	3	0.62	0.48
Al	3	0.675	0.535
Am	2	1.35	1.21
Am	2	1.4	1.26
Am	2	1.45	1.31
Am	3	1.115	0.975
Am	3	1.23	1.09
Am	4	0.99	0.85
Am	4	1.09	0.95
As	3	0.72	0.58
As	5	0.475	0.335
As	5	0.6	0.46
At	7	0.76	0.62
Au	1	1.51	1.37
Au	3	0.82	0.68
Au	3	0.99	0.85
Au	5	0.71	0.57
B	3	0.15	0.01
B	3	0.25	0.11
B	3	0.41	0.27
Ba	2	1.49	1.35
Ba	2	1.52	1.38
Ba	2	1.56	1.42
Ba	2	1.61	1.47
Ba	2	1.66	1.52
Ba	2	1.71	1.57
Ba	2	1.75	1.61
Be	2	0.3	0.16
Be	2	0.41	0.27
Be	2	0.59	0.45
Bi	3	1.1	0.96
Bi	3	1.17	1.03
Bi	3	1.31	1.17
Bi	5	0.9	0.76
Bk	3	1.1	0.96
Bk	4	0.97	0.83
Bk	4	1.07	0.93
Br	-1	1.82	1.96
Br	3	0.73	0.59
Br	5	0.45	0.31
Br	7	0.39	0.25
Br	7	0.53	0.39
C	4	0.06	-0.08
C	4	0.29	0.15
C	4	0.3	0.16
Ca	2	1.14	1
Ca	2	1.2	1.06
Ca	2	1.26	1.12
Ca	2	1.32	1.18
Ca	2	1.37	1.23
Ca	2	1.48	1.34
Cd	2	0.92	0.78
Cd	2	1.01	0.87
Cd	2	1.09	0.95
Cd	2	1.17	1.03
Cd	2	1.24	1.1
Cd	2	1.45	1.31
Ce	3	1.15	1.01
Ce	3	1.21	1.07
Ce	3	1.283	1.143
Ce	3	1.336	1.196
Ce	3	1.39	1.25
Ce	3	1.48	1.34
Ce	4	1.01	0.87
Ce	4	1.11	0.97
Ce	4	1.21	1.07
Ce	4	1.28	1.14
Cf	3	1.09	0.95
Cf	4	0.961	0.821
Cf	4	1.06	0.92
Cl	-1	1.67	1.81
Cl	5	0.26	0.12
Cl	7	0.22	0.08
Cl	7	0.41	0.27
Cm	3	1.11	0.97
Cm	4	0.99	0.85
Cm	4	1.09	0.95
Co	2	0.72	0.58
Co	2	0.81	0.67
Co	2	0.79	0.65
Co	2	0.885	0.745
Co	2	1.04	0.9
Co	3	0.685	0.545
Co	3	0.75	0.61
Co	4	0.54	0.4
Co	4	0.67	0.53
Cr	2	0.87	0.73
Cr	2	0.94	0.8
Cr	3	0.755	0.615
Cr	4	0.55	0.41
Cr	4	0.69	0.55
Cr	5	0.485	0.345
Cr	5	0.63	0.49
Cr	5	0.71	0.57
Cr	6	0.4	0.26
Cr	6	0.58	0.44
Cs	1	1.81	1.67
Cs	1	1.88	1.74
Cs	1	1.92	1.78
Cs	1	1.95	1.81
Cs	1	1.99	1.85
Cs	1	2.02	1.88
Cu	1	0.6	0.46
Cu	1	0.74	0.6
Cu	1	0.91	0.77
Cu	2	0.71	0.57
Cu	2	0.71	0.57
Cu	2	0.79	0.65
Cu	2	0.87	0.73
Cu	3	0.68	0.54
D	1	0.04	-0.1
Dy	2	1.21	1.07
Dy	2	1.27	1.13
Dy	2	1.33	1.19
Dy	3	1.052	0.912
Dy	3	1.11	0.97
Dy	3	1.167	1.027
Dy	3	1.223	1.083
Er	3	1.03	0.89
Er	3	1.085	0.945
Er	3	1.144	1.004
Er	3	1.202	1.062
Eu	2	1.31	1.17
Eu	2	1.34	1.2
Eu	2	1.39	1.25
Eu	2	1.44	1.3
Eu	2	1.49	1.35
Eu	3	1.087	0.947
Eu	3	1.15	1.01
Eu	3	1.206	1.066
Eu	3	1.26	1.12
F	-1	1.145	1.285
F	-1	1.16	1.3
F	-1	1.17	1.31
F	-1	1.19	1.33
F	7	0.22	0.08
Fe	2	0.77	0.63
Fe	2	0.78	0.64
Fe	2	0.75	0.61
Fe	2	0.92	0.78
Fe	2	1.06	0.92
Fe	3	0.63	0.49
Fe	3	0.72	0.58
Fe	3	0.69	0.55
Fe	3	0.785	0.645
Fe	3	0.92	0.78
Fe	4	0.725	0.585
Fe	6	0.39	0.25
Fr	1	1.94	1.8
Ga	3	0.61	0.47
Ga	3	0.69	0.55
Ga	3	0.76	0.62
Gd	3	1.078	0.938
Gd	3	1.14	1
Gd	3	1.193	1.053
Gd	3	1.247	1.107
